metric, mean, deviation
precision, 0.5883780484787289, 0.008048951434677161
recall, 0.8466132912376472, 0.006579014476620844
f1_score, 0.6942161354323457, 0.005868816423683137
accuracy, 0.627448729721457, 0.010406116601174385
