metric, mean, deviation
precision,0.5540258452032911,0.0048666990524348745
recall,0.9293681642100748,0.0067123692252882014
f1_score,0.6941922737159715,0.0044693704168720086
accuracy,0.5906412610958065,0.005465892693121672
