metric, mean, deviation
precision, 0.816516603831849, 0.009613583293360704
recall, 0.41614262480392694, 0.009483182251645619
f1_score, 0.5512131766133125, 0.008094078345420832
accuracy, 0.4597750369268118, 0.006697795742395137
