metric, mean, deviation
precision, 0.8106328878993616, 0.003582784506428761
recall, 0.902656019403812, 0.003736016140095593
f1_score, 0.8541708194511763, 0.003385679461567258
accuracy, 0.7543510756796573, 0.005745780249015596
