metric, mean, deviation
precision, 0.5057371944831157, 0.003060486157777664
recall, 0.9320821383396327, 0.004849532363163185
f1_score, 0.6556914571503434, 0.0030181166966795976
accuracy, 0.5197046219773491, 0.004244774486794812
