metric, mean, deviation
precision, 0.6876311425360563, 0.004256708009181309
recall, 0.9139863903870098, 0.0048971562603782
f1_score, 0.7848014776862667, 0.003410989027269035
accuracy, 0.7293388429752067, 0.004385898341263261
