metric, mean, deviation
precision, 0.5540363387789995, 0.005496745534462342
recall, 0.9157730840615136, 0.005722488153893803
f1_score, 0.6903675420323057, 0.00448123627588383
accuracy, 0.5903351698806244, 0.0067498578640905185
