metric, mean, deviation
precision, 0.9282237329645509, 0.007043211634872524
recall, 0.4128474655066475, 0.013927996477074484
f1_score, 0.5713950782511403, 0.014045448430369308
accuracy, 0.6657866544230181, 0.0077394030359557164
