metric, mean, deviation
precision, 0.8144667216382051, 0.003648503836551983
recall, 0.8303163765469671, 0.006297523069943076
f1_score, 0.8223034751946701, 0.0040558932364366754
accuracy, 0.8062825221916131, 0.00384864821295672
