metric, mean, deviation
precision, 0.5297374019789226, 0.014102449929659472
recall, 0.44380044176588745, 0.013842883841058262
f1_score, 0.48288345443985226, 0.012413688718153864
accuracy, 0.5256734006734007, 0.013572824492085099
