id;sIP; dIP; sPort; dPort; Proto; Packets; Bytes; Flags; Duration
1;3232249957;3232249958;37192;443;6;1;52;16;0
1;3232249957;3232249958;37200;443;6;1;52;16;0
1;3232249957;3232249958;37212;443;6;1;52;16;0
1;3232249957;3232249958;37236;443;6;1;52;16;0
1;3232249957;3232249958;37256;443;6;1;52;16;0
1;3232249957;3232249958;37278;443;6;1;52;16;0
1;3232249957;3232249958;37292;443;6;1;52;16;0
1;3232249957;3232249958;37300;443;6;1;52;16;0
1;3232249957;3232249958;37302;443;6;1;52;16;0
1;3232249957;3232249958;37342;443;6;1;52;16;0
1;3232249957;3232249958;37362;443;6;1;52;16;0
1;3232249957;3232249958;37376;443;6;1;52;16;0
1;3232249957;3232249958;37380;443;6;1;52;16;0
1;3232249957;3232249958;37396;443;6;1;52;16;0
1;3232249957;3232249958;37430;443;6;1;52;16;0
1;3232249957;3232249958;37438;443;6;1;52;16;0
1;3232249957;3232249958;37444;443;6;1;52;16;0
1;3232249957;3232249958;37454;443;6;1;52;16;0
1;3232249957;3232249958;37456;443;6;1;52;16;0
1;3232249957;3232249958;37458;443;6;1;52;16;0
1;3232249957;3232249958;37466;443;6;1;52;16;0
1;3232249957;3232249958;37476;443;6;1;52;16;0
1;3232249957;3232249958;37500;443;6;1;52;16;0
1;3232249957;3232249958;37512;443;6;1;52;16;0
1;3232249957;3232249958;37524;443;6;1;52;16;0
1;3232249957;3232249958;37544;443;6;1;52;16;0
1;3232249957;3232249958;37574;443;6;1;52;16;0
1;3232249957;3232249958;37578;443;6;1;52;16;0
1;3232249957;3232249958;37584;443;6;1;52;16;0
1;3232249957;3232249958;37588;443;6;1;52;16;0
1;3232249957;3232249958;37590;443;6;1;52;16;0
1;3232249957;3232249958;37606;443;6;1;52;16;0
1;3232249857;3232250111;138;138;17;1;229;0;0
1;3232249957;3232249958;37618;443;6;1;52;16;0
1;3232249957;3232249958;37620;443;6;1;52;16;0
1;3232249957;3232249958;37622;443;6;1;52;16;0
1;3232249957;3232249958;37638;443;6;1;52;16;0
1;3232249957;3232249958;37646;443;6;1;52;16;0
1;3232249957;3232249958;37650;443;6;1;52;16;0
1;3232249957;3232249958;37666;443;6;1;52;16;0
1;3232249957;3232249958;37678;443;6;1;52;16;0
1;3232249957;3232249958;37708;443;6;1;52;16;0
1;3232249957;3232249958;37714;443;6;1;52;16;0
1;3232249957;3232249958;37716;443;6;1;52;16;0
1;3232249957;3232249958;37722;443;6;1;52;16;0
1;3232249957;3232249958;37738;443;6;1;52;16;0
