id,sIP, dIP, sPort, dPort, Proto, Packets, Bytes, Flags, Duration
1,3232249958,3232249957,443,37226,6,4,456,27,0.005
1,3232249957,3232249958,37222,443,6,20,5358,30,11.270
1,3232249958,3232249957,443,37222,6,12,13287,27,11.270
1,3232249957,3232249958,37228,443,6,7,919,27,0.008
1,3232249958,3232249957,443,37228,6,4,1766,27,0.008
1,3232249957,3232249958,37230,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37230,6,4,1766,27,0.005
1,3232249957,3232249958,37234,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37234,6,4,456,27,0.004
1,3232249957,3232249958,37236,443,6,6,914,27,0.009
1,3232249958,3232249957,443,37236,6,5,508,27,0.009
1,3232249957,3232249958,37238,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37238,6,4,1766,27,0.006
1,3232249957,3232249958,37240,443,6,7,919,27,0.008
1,3232249958,3232249957,443,37240,6,4,1766,27,0.008
1,3232249957,3232249958,37242,443,6,7,919,27,0.010
1,3232249958,3232249957,443,37242,6,4,1766,27,0.010
1,3232249957,3232249958,37244,443,6,7,919,27,0.008
1,3232249958,3232249957,443,37244,6,4,1766,27,0.008
1,3232249957,3232249958,37246,443,6,7,919,27,0.013
1,3232249958,3232249957,443,37246,6,4,1766,27,0.013
1,3232249957,3232249958,37248,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37248,6,4,1766,27,0.005
1,3232249957,3232249958,37232,443,6,32,10770,30,21.970
1,3232249958,3232249957,443,37232,6,18,26331,27,21.970
1,3232249957,3232249958,37250,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37250,6,4,1766,27,0.007
1,3232249957,3232249958,37252,443,6,7,919,27,0.006
1,3232249958,3232249957,443,37252,6,5,1818,27,0.006
1,3232249957,3232249958,37256,443,6,6,914,27,0.005
1,3232249958,3232249957,443,37256,6,5,508,27,0.005
1,3232249957,3232249958,37258,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37258,6,4,456,27,0.003
1,3232249957,3232249958,37254,443,6,18,4653,30,8.528
1,3232249958,3232249957,443,37254,6,11,12598,27,8.528
1,3232249957,3232249958,37260,443,6,7,919,27,0.005
1,3232249958,3232249957,443,37260,6,4,1766,27,0.005
1,3232249957,3232249958,37262,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37262,6,4,1766,27,0.003
1,3232249957,3232249958,37266,443,6,7,966,27,0.003
1,3232249958,3232249957,443,37266,6,4,456,27,0.003
1,3232249957,3232249958,37268,443,6,7,966,27,0.005
1,3232249958,3232249957,443,37268,6,4,456,27,0.005
1,3232249957,3232249958,37264,443,6,20,5347,30,9.212
1,3232249958,3232249957,443,37264,6,13,13354,27,9.212
1,3232249957,3232249958,37270,443,6,7,919,27,0.004
1,3232249958,3232249957,443,37270,6,4,1766,27,0.004
1,3232249957,3232249958,37272,443,6,7,919,27,0.007
1,3232249958,3232249957,443,37272,6,4,1766,27,0.007
1,3232249957,3232249958,37274,443,6,6,867,27,0.009
1,3232249958,3232249957,443,37274,6,5,1818,27,0.009
1,3232249957,3232249958,37278,443,6,6,914,27,0.006
1,3232249958,3232249957,443,37278,6,5,508,27,0.006
1,3232249957,3232249958,37280,443,6,7,966,27,0.004
1,3232249958,3232249957,443,37280,6,4,456,27,0.004
1,3232249957,3232249958,37276,443,6,18,4496,30,9.955
